timestamp,user_id,server,status,recommendations,response_time
2024-10-17 21:56:32,464890,17645-team17.isri.cmu.edu:8082,200,the+shawshank+redemption+1994, the+dark+knight+2008
2024-10-17 21:56:32,129680,17645-team17.isri.cmu.edu:8082,200,the+shawshank+redemption+1994, the+dark+knight+2008
2024-10-17 21:56:32,18456,17645-team17.isri.cmu.edu:8082,200,the+shawshank+redemption+1994, the+dark+knight+2008
2024-10-17 21:56:33,462438,17645-team17.isri.cmu.edu:8082,200,the+shawshank+redemption+1994, the+dark+knight+2008
2024-10-17 21:56:33,105421,17645-team17.isri.cmu.edu:8082,200,the+shawshank+redemption+1994, the+dark+knight+2008
2024-10-17 21:56:33,100815,17645-team17.isri.cmu.edu:8082,200,the+shawshank+redemption+1994, the+dark+knight+2008
2024-10-17 21:56:33,556797,17645-team17.isri.cmu.edu:8082,200,the+shawshank+redemption+1994, the+dark+knight+2008
2024-10-17 21:56:34,68437,17645-team17.isri.cmu.edu:8082,200,the+shawshank+redemption+1994, the+dark+knight+2008
2024-10-17 21:56:34,234419,17645-team17.isri.cmu.edu:8082,200,the+shawshank+redemption+1994, the+dark+knight+2008
2024-10-17 21:56:34,308288,17645-team17.isri.cmu.edu:8082,200,the+shawshank+redemption+1994, the+dark+knight+2008
2024-10-17 21:56:34,433182,17645-team17.isri.cmu.edu:8082,200,the+shawshank+redemption+1994, the+dark+knight+2008
2024-10-17 21:56:34,507331,17645-team17.isri.cmu.edu:8082,200,the+shawshank+redemption+1994, the+dark+knight+2008
2024-10-17 21:56:35,48288,17645-team17.isri.cmu.edu:8082,200,the+shawshank+redemption+1994, the+dark+knight+2008
2024-10-17 21:56:36,279307,17645-team17.isri.cmu.edu:8082,200,the+shawshank+redemption+1994, the+dark+knight+2008
2024-10-17 21:56:36,121771,17645-team17.isri.cmu.edu:8082,200,the+shawshank+redemption+1994, the+dark+knight+2008
2024-10-17 21:56:36,539004,17645-team17.isri.cmu.edu:8082,200,the+shawshank+redemption+1994, the+dark+knight+2008
2024-10-17 21:56:36,128834,17645-team17.isri.cmu.edu:8082,200,the+shawshank+redemption+1994, the+dark+knight+2008
2024-10-17 21:56:37,428118,17645-team17.isri.cmu.edu:8082,200,the+shawshank+redemption+1994, the+dark+knight+2008
2024-10-17 21:56:37,339261,17645-team17.isri.cmu.edu:8082,200,the+shawshank+redemption+1994, the+dark+knight+2008
2024-10-17 21:56:37,453450,17645-team17.isri.cmu.edu:8082,200,the+shawshank+redemption+1994, the+dark+knight+2008
